schema_version,workload,mode,selected_mode,repetition,config_path,event_count,sim_execution_ns,sim_execution_events_per_second,end_to_end_ns,end_to_end_events_per_second,simulated_end_time_ns,effective_thread_count,binary_sha256
2,fattree-k4-f8,st,st,1,configs/benchmarks/baseline/fattree_k4_f8_st.toml,54072,20641250,2619608.793072,23467000,2304171.815741,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,mt,st,1,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,54069,151862625,356038.887119,154959834,348922.676311,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,st,st,1,configs/benchmarks/baseline/fattree_k8_f64_st.toml,467852,196139125,2385306.858078,199947791,2339870.811576,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,mt,st,1,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,467849,426582125,1096738.406467,431526583,1084171.910679,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,st,st,1,configs/benchmarks/baseline/fattree_k16_f512_st.toml,3751102,1756905500,2135061.902874,1778528542,2109104.190019,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,mt,st,1,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,3751085,1918802292,1954909.588986,1946003875,1927583.520357,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,st,mt,1,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,21601562,14361313417,1504149.472459,15551223584,1389058.673314,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,mt,mt,1,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,21600888,7141657250,3024632.412876,8368827041,2581112.967704,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,st,st,2,configs/benchmarks/baseline/fattree_k4_f8_st.toml,54072,20642375,2619466.025591,23572917,2293818.792133,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,mt,st,2,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,54069,151820292,356138.163665,154760917,349371.152925,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,st,st,2,configs/benchmarks/baseline/fattree_k8_f64_st.toml,467852,195597417,2391912.977051,199229834,2348302.915315,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,mt,st,2,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,467849,426249541,1097594.143802,430862834,1085842.089596,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,st,st,2,configs/benchmarks/baseline/fattree_k16_f512_st.toml,3751102,1741385250,2154090.830849,1763538250,2127031.835006,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,mt,st,2,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,3751085,1925516958,1948092.424954,1952904333,1920772.531769,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,st,mt,2,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,21601562,14384360958,1501739.428194,15563405541,1387971.414296,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,mt,mt,2,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,21600888,7097450791,3043471.330212,8340864583,2589766.059028,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,st,st,3,configs/benchmarks/baseline/fattree_k4_f8_st.toml,54072,20791292,2600704.179423,23689584,2282522.141377,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,mt,st,3,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,54069,151515375,356854.873639,154507542,349944.082341,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,st,st,3,configs/benchmarks/baseline/fattree_k8_f64_st.toml,467852,196472875,2381254.918777,200015417,2339079.692042,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,mt,st,3,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,467849,426169542,1097800.180192,430649791,1086379.257061,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,st,st,3,configs/benchmarks/baseline/fattree_k16_f512_st.toml,3751102,1775687875,2112478.241707,1797556750,2086778.066951,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,mt,st,3,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,3751085,1938631250,1934914.130782,1967258667,1906757.389317,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,st,mt,3,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,21601562,14312242417,1509306.604138,15489812959,1394565.709552,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,mt,mt,3,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,21600888,7140256917,3025225.597775,8354930417,2585406.092198,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,st,st,4,configs/benchmarks/baseline/fattree_k4_f8_st.toml,54072,20625084,2621662.049958,23648042,2286531.798277,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,mt,st,4,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,54069,152328000,354951.158027,155275834,348212.587929,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,st,st,4,configs/benchmarks/baseline/fattree_k8_f64_st.toml,467852,195718083,2390438.291795,199533417,2344730.055918,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,mt,st,4,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,467849,426452208,1097072.523541,431107875,1085224.898756,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,st,st,4,configs/benchmarks/baseline/fattree_k16_f512_st.toml,3751102,1745252708,2149317.392722,1767061083,2122791.360235,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,mt,st,4,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,3751085,1936089708,1937454.129579,1964281458,1909647.410621,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,st,mt,4,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,21601562,14467173917,1493143.175297,15639744292,1381196.622956,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,mt,mt,4,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,21600888,7094004667,3044949.787034,8291108584,2605307.575115,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,st,st,5,configs/benchmarks/baseline/fattree_k4_f8_st.toml,54072,20636125,2620259.375246,23611875,2290034.145954,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,mt,st,5,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,54069,153556000,352112.584334,156479750,345533.527501,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,st,st,5,configs/benchmarks/baseline/fattree_k8_f64_st.toml,467852,196128583,2385435.069400,199716667,2342578.649182,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,mt,st,5,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,467849,428704459,1091308.919649,433125417,1080169.811415,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,st,st,5,configs/benchmarks/baseline/fattree_k16_f512_st.toml,3751102,1742485667,2152730.476376,1764335875,2126070.241586,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,mt,st,5,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,3751085,1929061541,1944512.873371,1957067167,1916686.899280,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,st,mt,5,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,21601562,14362826167,1503991.049452,15581063667,1386398.416801,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,mt,mt,5,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,21600888,7171958791,3011853.334560,8399862750,2571576.303434,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,st,st,6,configs/benchmarks/baseline/fattree_k4_f8_st.toml,54072,20780208,2602091.374639,23782542,2273600.525966,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,mt,st,6,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,54069,153113375,353130.482559,156015417,346561.904200,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,st,st,6,configs/benchmarks/baseline/fattree_k8_f64_st.toml,467852,196791208,2377402.957961,200404125,2334542.764526,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,mt,st,6,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,467849,426357333,1097316.649178,430903666,1085739.196287,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,st,st,6,configs/benchmarks/baseline/fattree_k16_f512_st.toml,3751102,1738519125,2157642.067930,1760727292,2130427.589237,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,mt,st,6,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,3751085,1939612417,1933935.340444,1967624875,1906402.509777,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,st,mt,6,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,21601562,14422210292,1497798.296006,15588981917,1385694.211143,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,mt,mt,6,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,21600888,7136555958,3026794.454794,8338781667,2590412.947911,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,st,st,7,configs/benchmarks/baseline/fattree_k4_f8_st.toml,54072,20691875,2613199.625457,23660583,2285319.850318,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,mt,st,7,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,54069,153126666,353099.831743,156273666,345989.195646,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,st,st,7,configs/benchmarks/baseline/fattree_k8_f64_st.toml,467852,196699333,2378513.403500,200543708,2332917.869455,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,mt,st,7,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,467849,428781125,1091113.793780,433314459,1079698.565978,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,st,st,7,configs/benchmarks/baseline/fattree_k16_f512_st.toml,3751102,1733728041,2163604.620386,1755817334,2136385.105308,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,mt,st,7,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,3751085,1938311375,1935233.445142,1966219709,1907764.927200,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,st,mt,7,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,21601562,14499268917,1489838.013465,15677052459,1377909.658496,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,mt,mt,7,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,21600888,7154875875,3019044.407951,8348503167,2587396.515028,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,st,st,8,configs/benchmarks/baseline/fattree_k4_f8_st.toml,54072,20747750,2606162.113964,23729375,2278694.655885,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,mt,st,8,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,54069,152290125,355039.435420,155300875,348156.441488,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,st,st,8,configs/benchmarks/baseline/fattree_k8_f64_st.toml,467852,196138291,2385317.000646,199907000,2340348.261942,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,mt,st,8,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,467849,426733583,1096349.147660,431436333,1084398.703157,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,st,st,8,configs/benchmarks/baseline/fattree_k16_f512_st.toml,3751102,1746260375,2148077.144567,1768118458,2121521.882783,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,mt,st,8,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,3751085,1937021625,1936522.004497,1964955834,1908992.016561,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
