model_kind,node_id,peer_node_id,flow_id,packets_sent,bytes_sent,packets_enqueued,packets_dropped,packets_forwarded,final_queue_occupancy_packets,final_queue_occupancy_bytes,packets_received,bytes_received,final_time_ns
source,0,,8,10,10000,0,0,0,0,0,0,0,1000000
source,0,,10,10,10000,0,0,0,0,0,0,0,1000000
source,0,,12,10,10000,0,0,0,0,0,0,0,1000000
source,0,,13,10,10000,0,0,0,0,0,0,0,1000000
source,0,,14,10,10000,0,0,0,0,0,0,0,1000000
source,0,,17,10,10000,0,0,0,0,0,0,0,1000000
source,1,,7,10,10000,0,0,0,0,0,0,0,1000000
source,2,,4,10,10000,0,0,0,0,0,0,0,1000000
source,3,,9,10,10000,0,0,0,0,0,0,0,1000000
source,4,,2,10,10000,0,0,0,0,0,0,0,1000000
source,4,,15,10,10000,0,0,0,0,0,0,0,1000000
source,4,,16,10,10000,0,0,0,0,0,0,0,1000000
source,5,,11,10,10000,0,0,0,0,0,0,0,1000000
source,6,,1,10,10000,0,0,0,0,0,0,0,1000000
source,7,,0,10,10000,0,0,0,0,0,0,0,1000000
source,7,,5,10,10000,0,0,0,0,0,0,0,1000000
source,8,,3,10,10000,0,0,0,0,0,0,0,1000000
source,8,,6,10,10000,0,0,0,0,0,0,0,1000000
switch,0,,,0,110000,0,0,110,0,0,0,0,924000
switch,1,,,0,50000,0,0,50,0,0,0,0,916000
switch,2,,,0,40000,0,0,40,0,0,0,0,908000
switch,3,,,0,40000,0,0,40,0,0,0,0,916000
switch,4,,,0,60000,0,0,60,0,0,0,0,924000
switch,5,,,0,60000,0,0,60,0,0,0,0,916000
switch,6,,,0,20000,0,0,20,0,0,0,0,908000
switch,7,,,0,30000,0,0,30,0,0,0,0,916000
switch,8,,,0,40000,0,0,40,0,0,0,0,916000
port,0,1,,0,0,20,0,20,0,0,0,0,916000
port,0,2,,0,0,10,0,10,0,0,0,0,908000
port,0,3,,0,0,20,0,20,0,0,0,0,916000
port,0,6,,0,0,10,0,10,0,0,0,0,908000
port,1,0,,0,0,30,0,30,0,0,0,0,924000
port,1,2,,0,0,0,0,0,0,0,0,0,0
port,1,4,,0,0,0,0,0,0,0,0,0,0
port,1,7,,0,0,0,0,0,0,0,0,0,0
port,2,0,,0,0,20,0,20,0,0,0,0,916000
port,2,1,,0,0,0,0,0,0,0,0,0,0
port,2,5,,0,0,0,0,0,0,0,0,0,0
port,2,8,,0,0,10,0,10,0,0,0,0,916000
port,3,0,,0,0,0,0,0,0,0,0,0,0
port,3,4,,0,0,10,0,10,0,0,0,0,924000
port,3,5,,0,0,10,0,10,0,0,0,0,908000
port,3,6,,0,0,0,0,0,0,0,0,0,0
port,4,1,,0,0,10,0,10,0,0,0,0,908000
port,4,3,,0,0,10,0,10,0,0,0,0,908000
port,4,5,,0,0,20,0,20,0,0,0,0,916000
port,4,7,,0,0,0,0,0,0,0,0,0,0
port,5,2,,0,0,10,0,10,0,0,0,0,908000
port,5,3,,0,0,0,0,0,0,0,0,0,0
port,5,4,,0,0,10,0,10,0,0,0,0,916000
port,5,8,,0,0,0,0,0,0,0,0,0,0
port,6,0,,0,0,0,0,0,0,0,0,0,0
port,6,3,,0,0,0,0,0,0,0,0,0,0
port,6,7,,0,0,10,0,10,0,0,0,0,916000
port,6,8,,0,0,10,0,10,0,0,0,0,908000
port,7,1,,0,0,10,0,10,0,0,0,0,908000
port,7,4,,0,0,10,0,10,0,0,0,0,908000
port,7,6,,0,0,0,0,0,0,0,0,0,0
port,7,8,,0,0,0,0,0,0,0,0,0,0
port,8,2,,0,0,10,0,10,0,0,0,0,908000
port,8,5,,0,0,20,0,20,0,0,0,0,916000
port,8,6,,0,0,0,0,0,0,0,0,0,0
port,8,7,,0,0,0,0,0,0,0,0,0,0
sink,0,,4,0,0,0,0,0,0,0,10,10000,2000000
sink,0,,5,0,0,0,0,0,0,0,10,10000,2000000
sink,0,,7,0,0,0,0,0,0,0,10,10000,2000000
sink,0,,11,0,0,0,0,0,0,0,10,10000,2000000
sink,0,,15,0,0,0,0,0,0,0,10,10000,2000000
sink,1,,12,0,0,0,0,0,0,0,10,10000,2000000
sink,1,,14,0,0,0,0,0,0,0,10,10000,2000000
sink,2,,6,0,0,0,0,0,0,0,10,10000,2000000
sink,3,,2,0,0,0,0,0,0,0,10,10000,2000000
sink,3,,17,0,0,0,0,0,0,0,10,10000,2000000
sink,4,,3,0,0,0,0,0,0,0,10,10000,2000000
sink,4,,10,0,0,0,0,0,0,0,10,10000,2000000
sink,5,,0,0,0,0,0,0,0,0,10,10000,2000000
sink,5,,1,0,0,0,0,0,0,0,10,10000,2000000
sink,5,,9,0,0,0,0,0,0,0,10,10000,2000000
sink,5,,16,0,0,0,0,0,0,0,10,10000,2000000
sink,7,,13,0,0,0,0,0,0,0,10,10000,2000000
sink,8,,8,0,0,0,0,0,0,0,10,10000,2000000
