time_ns,model_kind,transition,node_id,peer_node_id,flow_id,packet_id,model_sequence,size_bytes,queue_occupancy_packets,queue_occupancy_bytes,departure_time_ns
0,source,source_emit,0,,0,0,0,1000,,,
0,source,source_emit,0,,1,0,0,1000,,,
0,switch,switch_forward,0,,0,0,1,1000,,,
0,switch,switch_forward,0,,1,0,0,1000,,,
0,port,egress_enqueue,0,1,0,0,0,1000,1,1000,
0,port,egress_enqueue,0,2,1,0,0,1000,1,1000,
0,port,egress_dequeue,0,1,0,0,1,1000,0,0,8000
0,port,egress_dequeue,0,2,1,0,1,1000,0,0,8000
8000,switch,switch_forward,1,,0,0,0,1000,,,
8000,switch,switch_forward,2,,1,0,0,1000,,,
8000,port,egress_departure,0,1,0,0,2,1000,0,0,
8000,port,egress_departure,0,2,1,0,2,1000,0,0,
8000,sink,sink_receive,1,,0,0,0,1000,,,
8000,sink,sink_receive,2,,1,0,0,1000,,,
