model_kind,node_id,peer_node_id,flow_id,packets_sent,bytes_sent,packets_enqueued,packets_dropped,packets_forwarded,final_queue_occupancy_packets,final_queue_occupancy_bytes,packets_received,bytes_received,final_time_ns
source,0,,0,10,10000,0,0,0,0,0,0,0,1000000
source,0,,1,10,10000,0,0,0,0,0,0,0,1000000
switch,0,,,0,20000,0,0,20,0,0,0,0,900000
switch,1,,,0,10000,0,0,10,0,0,0,0,908000
switch,2,,,0,10000,0,0,10,0,0,0,0,908000
port,0,1,,0,0,10,0,10,0,0,0,0,908000
port,0,2,,0,0,10,0,10,0,0,0,0,908000
port,1,0,,0,0,0,0,0,0,0,0,0,0
port,2,0,,0,0,0,0,0,0,0,0,0,0
sink,1,,0,0,0,0,0,0,0,0,10,10000,2000000
sink,2,,1,0,0,0,0,0,0,0,10,10000,2000000
