time_ns,model_kind,transition,node_id,peer_node_id,flow_id,packet_id,model_sequence,size_bytes,queue_occupancy_packets,queue_occupancy_bytes,departure_time_ns
0,source,source_emit,0,,0,0,0,1000,,,
0,source,source_emit,0,,1,0,0,1000,,,
0,switch,switch_forward,0,,0,0,1,1000,,,
0,switch,switch_forward,0,,1,0,0,1000,,,
0,port,egress_enqueue,0,1,0,0,0,1000,1,1000,
0,port,egress_enqueue,0,2,1,0,0,1000,1,1000,
0,port,egress_dequeue,0,1,0,0,1,1000,0,0,8000
0,port,egress_dequeue,0,2,1,0,1,1000,0,0,8000
8000,switch,switch_forward,1,,0,0,0,1000,,,
8000,switch,switch_forward,2,,1,0,0,1000,,,
8000,port,egress_departure,0,1,0,0,2,1000,0,0,
8000,port,egress_departure,0,2,1,0,2,1000,0,0,
8000,sink,sink_receive,1,,0,0,0,1000,,,
8000,sink,sink_receive,2,,1,0,0,1000,,,
100000,source,source_emit,0,,0,1,1,1000,,,
100000,source,source_emit,0,,1,1,1,1000,,,
100000,switch,switch_forward,0,,0,1,3,1000,,,
100000,switch,switch_forward,0,,1,1,2,1000,,,
100000,port,egress_enqueue,0,1,0,1,3,1000,1,1000,
100000,port,egress_enqueue,0,2,1,1,3,1000,1,1000,
100000,port,egress_dequeue,0,1,0,1,4,1000,0,0,108000
100000,port,egress_dequeue,0,2,1,1,4,1000,0,0,108000
108000,switch,switch_forward,1,,0,1,1,1000,,,
108000,switch,switch_forward,2,,1,1,1,1000,,,
108000,port,egress_departure,0,1,0,1,5,1000,0,0,
108000,port,egress_departure,0,2,1,1,5,1000,0,0,
108000,sink,sink_receive,1,,0,1,1,1000,,,
108000,sink,sink_receive,2,,1,1,1,1000,,,
200000,source,source_emit,0,,0,2,2,1000,,,
200000,source,source_emit,0,,1,2,2,1000,,,
200000,switch,switch_forward,0,,0,2,5,1000,,,
200000,switch,switch_forward,0,,1,2,4,1000,,,
200000,port,egress_enqueue,0,1,0,2,6,1000,1,1000,
200000,port,egress_enqueue,0,2,1,2,6,1000,1,1000,
200000,port,egress_dequeue,0,1,0,2,7,1000,0,0,208000
200000,port,egress_dequeue,0,2,1,2,7,1000,0,0,208000
208000,switch,switch_forward,1,,0,2,2,1000,,,
208000,switch,switch_forward,2,,1,2,2,1000,,,
208000,port,egress_departure,0,1,0,2,8,1000,0,0,
208000,port,egress_departure,0,2,1,2,8,1000,0,0,
208000,sink,sink_receive,1,,0,2,2,1000,,,
208000,sink,sink_receive,2,,1,2,2,1000,,,
300000,source,source_emit,0,,0,3,3,1000,,,
300000,source,source_emit,0,,1,3,3,1000,,,
300000,switch,switch_forward,0,,0,3,7,1000,,,
300000,switch,switch_forward,0,,1,3,6,1000,,,
300000,port,egress_enqueue,0,1,0,3,9,1000,1,1000,
300000,port,egress_enqueue,0,2,1,3,9,1000,1,1000,
300000,port,egress_dequeue,0,1,0,3,10,1000,0,0,308000
300000,port,egress_dequeue,0,2,1,3,10,1000,0,0,308000
308000,switch,switch_forward,1,,0,3,3,1000,,,
308000,switch,switch_forward,2,,1,3,3,1000,,,
308000,port,egress_departure,0,1,0,3,11,1000,0,0,
308000,port,egress_departure,0,2,1,3,11,1000,0,0,
308000,sink,sink_receive,1,,0,3,3,1000,,,
308000,sink,sink_receive,2,,1,3,3,1000,,,
400000,source,source_emit,0,,0,4,4,1000,,,
400000,source,source_emit,0,,1,4,4,1000,,,
400000,switch,switch_forward,0,,0,4,9,1000,,,
400000,switch,switch_forward,0,,1,4,8,1000,,,
400000,port,egress_enqueue,0,1,0,4,12,1000,1,1000,
400000,port,egress_enqueue,0,2,1,4,12,1000,1,1000,
400000,port,egress_dequeue,0,1,0,4,13,1000,0,0,408000
400000,port,egress_dequeue,0,2,1,4,13,1000,0,0,408000
408000,switch,switch_forward,1,,0,4,4,1000,,,
408000,switch,switch_forward,2,,1,4,4,1000,,,
408000,port,egress_departure,0,1,0,4,14,1000,0,0,
408000,port,egress_departure,0,2,1,4,14,1000,0,0,
408000,sink,sink_receive,1,,0,4,4,1000,,,
408000,sink,sink_receive,2,,1,4,4,1000,,,
500000,source,source_emit,0,,0,5,5,1000,,,
500000,source,source_emit,0,,1,5,5,1000,,,
500000,switch,switch_forward,0,,0,5,11,1000,,,
500000,switch,switch_forward,0,,1,5,10,1000,,,
500000,port,egress_enqueue,0,1,0,5,15,1000,1,1000,
500000,port,egress_enqueue,0,2,1,5,15,1000,1,1000,
500000,port,egress_dequeue,0,1,0,5,16,1000,0,0,508000
500000,port,egress_dequeue,0,2,1,5,16,1000,0,0,508000
508000,switch,switch_forward,1,,0,5,5,1000,,,
508000,switch,switch_forward,2,,1,5,5,1000,,,
508000,port,egress_departure,0,1,0,5,17,1000,0,0,
508000,port,egress_departure,0,2,1,5,17,1000,0,0,
508000,sink,sink_receive,1,,0,5,5,1000,,,
508000,sink,sink_receive,2,,1,5,5,1000,,,
600000,source,source_emit,0,,0,6,6,1000,,,
600000,source,source_emit,0,,1,6,6,1000,,,
