time_ns,model_kind,transition,node_id,peer_node_id,flow_id,packet_id,model_sequence,size_bytes,queue_occupancy_packets,queue_occupancy_bytes,departure_time_ns
0,source,source_emit,1,,4,0,0,1000,,,
0,source,source_emit,1,,6,0,0,1000,,,
0,source,source_emit,1,,7,0,0,1000,,,
0,source,source_emit,4,,2,0,0,1000,,,
0,source,source_emit,4,,3,0,0,1000,,,
0,source,source_emit,6,,0,0,0,1000,,,
0,source,source_emit,6,,1,0,0,1000,,,
0,source,source_emit,6,,5,0,0,1000,,,
0,switch,switch_forward,1,,4,0,2,1000,,,
0,switch,switch_forward,1,,6,0,1,1000,,,
0,switch,switch_forward,1,,7,0,0,1000,,,
0,switch,switch_forward,4,,2,0,1,1000,,,
0,switch,switch_forward,4,,3,0,0,1000,,,
0,switch,switch_forward,6,,0,0,2,1000,,,
0,switch,switch_forward,6,,1,0,1,1000,,,
0,switch,switch_forward,6,,5,0,0,1000,,,
0,port,egress_enqueue,1,8,6,0,0,1000,1,1000,
0,port,egress_enqueue,1,9,4,0,2,1000,1,1000,
0,port,egress_enqueue,1,9,7,0,0,1000,1,1000,
0,port,egress_enqueue,4,13,2,0,2,1000,1,1000,
0,port,egress_enqueue,4,13,3,0,0,1000,1,1000,
0,port,egress_enqueue,6,14,0,0,3,1000,2,2000,
0,port,egress_enqueue,6,14,1,0,2,1000,1,1000,
0,port,egress_enqueue,6,14,5,0,0,1000,1,1000,
0,port,egress_dequeue,1,8,6,0,1,1000,0,0,8000
0,port,egress_dequeue,1,9,7,0,1,1000,0,0,8000
0,port,egress_dequeue,4,13,3,0,1,1000,0,0,8000
0,port,egress_dequeue,6,14,5,0,1,1000,0,0,8000
8000,switch,switch_forward,8,,6,0,0,1000,,,
8000,switch,switch_forward,9,,7,0,0,1000,,,
8000,switch,switch_forward,13,,3,0,0,1000,,,
8000,switch,switch_forward,14,,5,0,0,1000,,,
8000,port,egress_enqueue,8,16,6,0,0,1000,1,1000,
8000,port,egress_enqueue,9,0,7,0,0,1000,1,1000,
8000,port,egress_enqueue,13,18,3,0,0,1000,1,1000,
8000,port,egress_enqueue,14,16,5,0,0,1000,1,1000,
8000,port,egress_dequeue,1,9,4,0,4,1000,0,0,16000
