time_ns,model_kind,transition,node_id,peer_node_id,flow_id,packet_id,model_sequence,size_bytes,queue_occupancy_packets,queue_occupancy_bytes,departure_time_ns
0,source,source_emit,0,,8,0,0,1000,,,
0,source,source_emit,0,,10,0,0,1000,,,
0,source,source_emit,0,,12,0,0,1000,,,
0,source,source_emit,0,,13,0,0,1000,,,
0,source,source_emit,0,,14,0,0,1000,,,
0,source,source_emit,0,,17,0,0,1000,,,
0,source,source_emit,1,,7,0,0,1000,,,
0,source,source_emit,2,,4,0,0,1000,,,
0,source,source_emit,3,,9,0,0,1000,,,
0,source,source_emit,4,,2,0,0,1000,,,
0,source,source_emit,4,,15,0,0,1000,,,
0,source,source_emit,4,,16,0,0,1000,,,
0,source,source_emit,5,,11,0,0,1000,,,
0,source,source_emit,6,,1,0,0,1000,,,
0,source,source_emit,7,,0,0,0,1000,,,
0,source,source_emit,7,,5,0,0,1000,,,
0,source,source_emit,8,,3,0,0,1000,,,
0,source,source_emit,8,,6,0,0,1000,,,
0,switch,switch_forward,0,,8,0,5,1000,,,
0,switch,switch_forward,0,,10,0,4,1000,,,
0,switch,switch_forward,0,,12,0,3,1000,,,
0,switch,switch_forward,0,,13,0,2,1000,,,
0,switch,switch_forward,0,,14,0,1,1000,,,
0,switch,switch_forward,0,,17,0,0,1000,,,
0,switch,switch_forward,1,,7,0,0,1000,,,
0,switch,switch_forward,2,,4,0,0,1000,,,
0,switch,switch_forward,3,,9,0,0,1000,,,
0,switch,switch_forward,4,,2,0,2,1000,,,
0,switch,switch_forward,4,,15,0,1,1000,,,
0,switch,switch_forward,4,,16,0,0,1000,,,
0,switch,switch_forward,5,,11,0,0,1000,,,
0,switch,switch_forward,6,,1,0,0,1000,,,
0,switch,switch_forward,7,,0,0,1,1000,,,
0,switch,switch_forward,7,,5,0,0,1000,,,
0,switch,switch_forward,8,,3,0,1,1000,,,
0,switch,switch_forward,8,,6,0,0,1000,,,
0,port,egress_enqueue,0,1,12,0,2,1000,1,1000,
0,port,egress_enqueue,0,1,14,0,0,1000,1,1000,
0,port,egress_enqueue,0,2,8,0,0,1000,1,1000,
0,port,egress_enqueue,0,3,10,0,2,1000,1,1000,
0,port,egress_enqueue,0,3,17,0,0,1000,1,1000,
0,port,egress_enqueue,0,6,13,0,0,1000,1,1000,
0,port,egress_enqueue,1,0,7,0,0,1000,1,1000,
0,port,egress_enqueue,2,0,4,0,0,1000,1,1000,
0,port,egress_enqueue,3,5,9,0,0,1000,1,1000,
0,port,egress_enqueue,4,1,15,0,0,1000,1,1000,
0,port,egress_enqueue,4,3,2,0,0,1000,1,1000,
0,port,egress_enqueue,4,5,16,0,0,1000,1,1000,
0,port,egress_enqueue,5,2,11,0,0,1000,1,1000,
0,port,egress_enqueue,6,8,1,0,0,1000,1,1000,
0,port,egress_enqueue,7,1,5,0,0,1000,1,1000,
0,port,egress_enqueue,7,4,0,0,0,1000,1,1000,
0,port,egress_enqueue,8,2,6,0,0,1000,1,1000,
0,port,egress_enqueue,8,5,3,0,0,1000,1,1000,
