time_ns,event_phase,event_origin_node,event_origin_sequence,ordinal,node_id,flow_id,cause,cause_flow_id,arrival_bytes,collective_id,algorithm,group_size,declared_total_bytes,rank,collective_phase,step,chunk_offset_bytes,chunk_bytes,packet_size_bytes,interval_ns,stop_time_ns,local_predecessor_flow_id,inbound_predecessor_flow_id,inbound_predecessor_bytes,before_local_complete,before_inbound_complete,before_inbound_bytes,activated,after_local_complete,after_inbound_complete,after_inbound_bytes,after_packets_emitted,after_bytes_emitted,after_status,after_next_time_ns
0,0,0,0,0,0,1,local_completion,0,0,0,allgather,4,10,0,allgather,2,6,4,3,1,100000,0,9,4,0,0,0,0,1,0,0,0,0,blocked,0
0,0,1,0,0,1,4,local_completion,3,0,0,allgather,4,10,1,allgather,2,0,2,3,1,100000,3,0,2,0,0,0,0,1,0,0,0,0,blocked,0
0,0,2,0,0,2,7,local_completion,6,0,0,allgather,4,10,2,allgather,2,2,2,3,1,100000,6,3,2,0,0,0,0,1,0,0,0,0,blocked,0
1,0,3,1,0,3,10,local_completion,9,0,0,allgather,4,10,3,allgather,2,4,2,3,1,100000,9,6,2,0,0,0,0,1,0,0,0,0,blocked,0
8,0,6,2,0,1,4,inbound_arrival,0,2,0,allgather,4,10,1,allgather,2,0,2,3,1,100000,3,0,2,1,0,0,1,1,1,2,1,2,finished,8
8,0,6,2,1,1,5,local_completion,4,0,0,allgather,4,10,1,allgather,3,6,4,3,1,100000,4,1,4,0,0,0,0,1,0,0,0,0,blocked,0
8,0,8,2,0,2,7,inbound_arrival,3,2,0,allgather,4,10,2,allgather,2,2,2,3,1,100000,6,3,2,1,0,0,1,1,1,2,1,2,finished,8
8,0,8,2,1,2,8,local_completion,7,0,0,allgather,4,10,2,allgather,3,0,2,3,1,100000,7,4,2,0,0,0,0,1,0,0,0,0,blocked,0
8,0,10,2,0,3,10,inbound_arrival,6,2,0,allgather,4,10,3,allgather,2,4,2,3,1,100000,9,6,2,1,0,0,1,1,1,2,1,2,finished,8
8,0,10,2,1,3,11,local_completion,10,0,0,allgather,4,10,3,allgather,3,2,2,3,1,100000,10,7,2,0,0,0,0,1,0,0,0,0,blocked,0
12,0,4,2,0,0,1,inbound_arrival,9,3,0,allgather,4,10,0,allgather,2,6,4,3,1,100000,0,9,4,1,0,0,0,1,0,3,0,0,blocked,0
13,0,4,5,0,0,1,inbound_arrival,9,1,0,allgather,4,10,0,allgather,2,6,4,3,1,100000,0,9,4,1,0,3,1,1,1,4,1,3,scheduled,14
14,0,0,4,0,0,2,local_completion,1,0,0,allgather,4,10,0,allgather,3,4,2,3,1,100000,1,10,2,0,0,0,0,1,0,0,0,0,blocked,0
16,0,4,8,0,0,2,inbound_arrival,10,2,0,allgather,4,10,0,allgather,3,4,2,3,1,100000,1,10,2,1,0,0,1,1,1,2,1,2,finished,16
16,0,8,5,0,2,8,inbound_arrival,4,2,0,allgather,4,10,2,allgather,3,0,2,3,1,100000,7,4,2,1,0,0,1,1,1,2,1,2,finished,16
16,0,10,5,0,3,11,inbound_arrival,7,2,0,allgather,4,10,3,allgather,3,2,2,3,1,100000,10,7,2,1,0,0,1,1,1,2,1,2,finished,16
25,0,6,5,0,1,5,inbound_arrival,1,3,0,allgather,4,10,1,allgather,3,6,4,3,1,100000,4,1,4,1,0,0,0,1,0,3,0,0,blocked,0
26,0,6,8,0,1,5,inbound_arrival,1,1,0,allgather,4,10,1,allgather,3,6,4,3,1,100000,4,1,4,1,0,3,1,1,1,4,1,3,scheduled,27
