time_ns,event_phase,event_origin_node,event_origin_sequence,ordinal,node_id,flow_id,cause,cause_flow_id,arrival_bytes,collective_id,algorithm,group_size,declared_total_bytes,rank,collective_phase,step,chunk_offset_bytes,chunk_bytes,packet_size_bytes,interval_ns,stop_time_ns,local_predecessor_flow_id,inbound_predecessor_flow_id,inbound_predecessor_bytes,before_local_complete,before_inbound_complete,before_inbound_bytes,activated,after_local_complete,after_inbound_complete,after_inbound_bytes,after_packets_emitted,after_bytes_emitted,after_status,after_next_time_ns
0,0,0,0,0,0,1,local_completion,0,0,0,ring_allreduce,4,10,0,reduce_scatter,2,6,4,3,1,100000,0,9,4,0,0,0,0,1,0,0,0,0,blocked,0
0,0,1,0,0,1,4,local_completion,3,0,0,ring_allreduce,4,10,1,reduce_scatter,2,0,2,3,1,100000,3,0,2,0,0,0,0,1,0,0,0,0,blocked,0
0,0,2,0,0,2,7,local_completion,6,0,0,ring_allreduce,4,10,2,reduce_scatter,2,2,2,3,1,100000,6,3,2,0,0,0,0,1,0,0,0,0,blocked,0
1,0,3,1,0,3,10,local_completion,9,0,0,ring_allreduce,4,10,3,reduce_scatter,2,4,2,3,1,100000,9,6,2,0,0,0,0,1,0,0,0,0,blocked,0
8,0,6,2,0,1,4,inbound_arrival,0,2,0,ring_allreduce,4,10,1,reduce_scatter,2,0,2,3,1,100000,3,0,2,1,0,0,1,1,1,2,1,2,finished,8
8,0,6,2,1,1,5,local_completion,4,0,0,ring_allreduce,4,10,1,reduce_scatter,3,6,4,3,1,100000,4,1,4,0,0,0,0,1,0,0,0,0,blocked,0
8,0,8,2,0,2,7,inbound_arrival,3,2,0,ring_allreduce,4,10,2,reduce_scatter,2,2,2,3,1,100000,6,3,2,1,0,0,1,1,1,2,1,2,finished,8
8,0,8,2,1,2,8,local_completion,7,0,0,ring_allreduce,4,10,2,reduce_scatter,3,0,2,3,1,100000,7,4,2,0,0,0,0,1,0,0,0,0,blocked,0
8,0,10,2,0,3,10,inbound_arrival,6,2,0,ring_allreduce,4,10,3,reduce_scatter,2,4,2,3,1,100000,9,6,2,1,0,0,1,1,1,2,1,2,finished,8
8,0,10,2,1,3,11,local_completion,10,0,0,ring_allreduce,4,10,3,reduce_scatter,3,2,2,3,1,100000,10,7,2,0,0,0,0,1,0,0,0,0,blocked,0
12,0,4,2,0,0,1,inbound_arrival,9,3,0,ring_allreduce,4,10,0,reduce_scatter,2,6,4,3,1,100000,0,9,4,1,0,0,0,1,0,3,0,0,blocked,0
13,0,4,5,0,0,1,inbound_arrival,9,1,0,ring_allreduce,4,10,0,reduce_scatter,2,6,4,3,1,100000,0,9,4,1,0,3,1,1,1,4,1,3,scheduled,14
14,0,0,4,0,0,2,local_completion,1,0,0,ring_allreduce,4,10,0,reduce_scatter,3,4,2,3,1,100000,1,10,2,0,0,0,0,1,0,0,0,0,blocked,0
16,0,4,8,0,0,2,inbound_arrival,10,2,0,ring_allreduce,4,10,0,reduce_scatter,3,4,2,3,1,100000,1,10,2,1,0,0,1,1,1,2,1,2,finished,16
16,0,4,8,1,0,12,local_completion,2,0,0,ring_allreduce,4,10,0,allgather,1,2,2,3,1,100000,2,11,2,0,0,0,0,1,0,0,0,0,blocked,0
16,0,8,5,0,2,8,inbound_arrival,4,2,0,ring_allreduce,4,10,2,reduce_scatter,3,0,2,3,1,100000,7,4,2,1,0,0,1,1,1,2,1,2,finished,16
16,0,8,5,1,2,18,local_completion,8,0,0,ring_allreduce,4,10,2,allgather,1,6,4,3,1,100000,8,5,4,0,0,0,0,1,0,0,0,0,blocked,0
16,0,10,5,0,3,11,inbound_arrival,7,2,0,ring_allreduce,4,10,3,reduce_scatter,3,2,2,3,1,100000,10,7,2,1,0,0,1,1,1,2,1,2,finished,16
16,0,10,5,1,3,21,local_completion,11,0,0,ring_allreduce,4,10,3,allgather,1,0,2,3,1,100000,11,8,2,0,0,0,0,1,0,0,0,0,blocked,0
24,0,4,11,0,0,12,inbound_arrival,11,2,0,ring_allreduce,4,10,0,allgather,1,2,2,3,1,100000,2,11,2,1,0,0,1,1,1,2,1,2,finished,24
24,0,4,11,1,0,13,local_completion,12,0,0,ring_allreduce,4,10,0,allgather,2,0,2,3,1,100000,12,21,2,0,0,0,0,1,0,0,0,0,blocked,0
24,0,10,8,0,3,21,inbound_arrival,8,2,0,ring_allreduce,4,10,3,allgather,1,0,2,3,1,100000,11,8,2,1,0,0,1,1,1,2,1,2,finished,24
24,0,10,8,1,3,22,local_completion,21,0,0,ring_allreduce,4,10,3,allgather,2,6,4,3,1,100000,21,18,4,0,0,0,0,1,0,0,0,0,blocked,0
25,0,6,5,0,1,5,inbound_arrival,1,3,0,ring_allreduce,4,10,1,reduce_scatter,3,6,4,3,1,100000,4,1,4,1,0,0,0,1,0,3,0,0,blocked,0
26,0,6,8,0,1,5,inbound_arrival,1,1,0,ring_allreduce,4,10,1,reduce_scatter,3,6,4,3,1,100000,4,1,4,1,0,3,1,1,1,4,1,3,scheduled,27
27,0,1,7,0,1,15,local_completion,5,0,0,ring_allreduce,4,10,1,allgather,1,4,2,3,1,100000,5,2,2,0,0,0,0,1,0,0,0,0,blocked,0
28,0,6,11,0,1,15,inbound_arrival,2,2,0,ring_allreduce,4,10,1,allgather,1,4,2,3,1,100000,5,2,2,1,0,0,1,1,1,2,1,2,finished,28
28,0,6,11,1,1,16,local_completion,15,0,0,ring_allreduce,4,10,1,allgather,2,2,2,3,1,100000,15,12,2,0,0,0,0,1,0,0,0,0,blocked,0
32,0,4,14,0,0,13,inbound_arrival,21,2,0,ring_allreduce,4,10,0,allgather,2,0,2,3,1,100000,12,21,2,1,0,0,1,1,1,2,1,2,finished,32
32,0,4,14,1,0,14,local_completion,13,0,0,ring_allreduce,4,10,0,allgather,3,6,4,3,1,100000,13,22,4,0,0,0,0,1,0,0,0,0,blocked,0
32,0,6,14,0,1,16,inbound_arrival,12,2,0,ring_allreduce,4,10,1,allgather,2,2,2,3,1,100000,15,12,2,1,0,0,1,1,1,2,1,2,finished,32
32,0,6,14,1,1,17,local_completion,16,0,0,ring_allreduce,4,10,1,allgather,3,0,2,3,1,100000,16,13,2,0,0,0,0,1,0,0,0,0,blocked,0
38,0,8,8,0,2,18,inbound_arrival,5,3,0,ring_allreduce,4,10,2,allgather,1,6,4,3,1,100000,8,5,4,1,0,0,0,1,0,3,0,0,blocked,0
39,0,8,11,0,2,18,inbound_arrival,5,1,0,ring_allreduce,4,10,2,allgather,1,6,4,3,1,100000,8,5,4,1,0,3,1,1,1,4,1,3,scheduled,40
40,0,2,10,0,2,19,local_completion,18,0,0,ring_allreduce,4,10,2,allgather,2,4,2,3,1,100000,18,15,2,0,0,0,0,1,0,0,0,0,blocked,0
40,0,6,17,0,1,17,inbound_arrival,13,2,0,ring_allreduce,4,10,1,allgather,3,0,2,3,1,100000,16,13,2,1,0,0,1,1,1,2,1,2,finished,40
41,0,8,14,0,2,19,inbound_arrival,15,2,0,ring_allreduce,4,10,2,allgather,2,4,2,3,1,100000,18,15,2,1,0,0,1,1,1,2,1,2,finished,41
41,0,8,14,1,2,20,local_completion,19,0,0,ring_allreduce,4,10,2,allgather,3,2,2,3,1,100000,19,16,2,0,0,0,0,1,0,0,0,0,blocked,0
43,0,8,17,0,2,20,inbound_arrival,16,2,0,ring_allreduce,4,10,2,allgather,3,2,2,3,1,100000,19,16,2,1,0,0,1,1,1,2,1,2,finished,43
51,0,10,11,0,3,22,inbound_arrival,18,3,0,ring_allreduce,4,10,3,allgather,2,6,4,3,1,100000,21,18,4,1,0,0,0,1,0,3,0,0,blocked,0
52,0,10,14,0,3,22,inbound_arrival,18,1,0,ring_allreduce,4,10,3,allgather,2,6,4,3,1,100000,21,18,4,1,0,3,1,1,1,4,1,3,scheduled,53
53,0,3,17,0,3,23,local_completion,22,0,0,ring_allreduce,4,10,3,allgather,3,4,2,3,1,100000,22,19,2,0,0,0,0,1,0,0,0,0,blocked,0
54,0,10,17,0,3,23,inbound_arrival,19,2,0,ring_allreduce,4,10,3,allgather,3,4,2,3,1,100000,22,19,2,1,0,0,1,1,1,2,1,2,finished,54
64,0,4,17,0,0,14,inbound_arrival,22,3,0,ring_allreduce,4,10,0,allgather,3,6,4,3,1,100000,13,22,4,1,0,0,0,1,0,3,0,0,blocked,0
65,0,4,20,0,0,14,inbound_arrival,22,1,0,ring_allreduce,4,10,0,allgather,3,6,4,3,1,100000,13,22,4,1,0,3,1,1,1,4,1,3,scheduled,66
