time_ns,event_phase,event_origin_node,event_origin_sequence,node_id,flow_id,kind,applied,emitted_bytes,initial_rate_bps,minimum_rate_bps,maximum_rate_bps,additive_rate_bps,hyper_rate_bps,g_ppb,decrease_ppb,cnp_interval_ns,control_interval_ns,increase_byte_threshold,before_alpha_ppb,before_current_rate_bps,before_target_rate_bps,before_cnp_seen,before_last_cnp_time_ns,before_stage,before_stage_steps,before_bytes_since_increase,before_next_control_time_ns,after_alpha_ppb,after_current_rate_bps,after_target_rate_bps,after_cnp_seen,after_last_cnp_time_ns,after_stage,after_stage_steps,after_bytes_since_increase,after_next_control_time_ns
0,1,0,0,0,0,bytes,1,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,0,10000000000,10000000000,0,,hyper,0,0,100000,0,10500000000,11000000000,0,,hyper,0,0,100000
858,0,2,2,0,0,cnp,1,0,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,0,10500000000,11000000000,0,,hyper,0,0,100000,500000000,7875000000,10500000000,1,858,fast_recovery,0,0,100000
1000,1,0,2,0,0,bytes,0,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,500000000,7875000000,10500000000,1,858,fast_recovery,0,0,100000,500000000,7875000000,10500000000,1,858,fast_recovery,0,1000,100000
2000,1,0,6,0,0,bytes,0,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,500000000,7875000000,10500000000,1,858,fast_recovery,0,1000,100000,500000000,7875000000,10500000000,1,858,fast_recovery,0,2000,100000
3000,1,0,10,0,0,bytes,0,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,500000000,7875000000,10500000000,1,858,fast_recovery,0,2000,100000,500000000,7875000000,10500000000,1,858,fast_recovery,0,3000,100000
4000,1,0,14,0,0,bytes,0,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,500000000,7875000000,10500000000,1,858,fast_recovery,0,3000,100000,500000000,7875000000,10500000000,1,858,fast_recovery,0,4000,100000
5000,1,0,18,0,0,bytes,0,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,500000000,7875000000,10500000000,1,858,fast_recovery,0,4000,100000,500000000,7875000000,10500000000,1,858,fast_recovery,0,5000,100000
6000,1,0,22,0,0,bytes,0,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,500000000,7875000000,10500000000,1,858,fast_recovery,0,5000,100000,500000000,7875000000,10500000000,1,858,fast_recovery,0,6000,100000
7000,1,0,26,0,0,bytes,0,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,500000000,7875000000,10500000000,1,858,fast_recovery,0,6000,100000,500000000,7875000000,10500000000,1,858,fast_recovery,0,7000,100000
8000,1,0,30,0,0,bytes,0,1000,10000000000,1000000000,20000000000,500000000,1000000000,500000000,500000000,10000,100000,1000,500000000,7875000000,10500000000,1,858,fast_recovery,0,7000,100000,500000000,7875000000,10500000000,1,858,fast_recovery,0,8000,100000
