time_ns,event_phase,event_origin_node,event_origin_sequence,node_id,flow_id,kind,applied,emitted_bytes,initial_rate_bps,minimum_rate_bps,maximum_rate_bps,additive_rate_bps,hyper_rate_bps,g_ppb,decrease_ppb,cnp_interval_ns,control_interval_ns,increase_byte_threshold,before_alpha_ppb,before_current_rate_bps,before_target_rate_bps,before_cnp_seen,before_last_cnp_time_ns,before_stage,before_stage_steps,before_bytes_since_increase,before_next_control_time_ns,after_alpha_ppb,after_current_rate_bps,after_target_rate_bps,after_cnp_seen,after_last_cnp_time_ns,after_stage,after_stage_steps,after_bytes_since_increase,after_next_control_time_ns
0,0,9,0,1,7,cnp,1,0,8000,1000,20000,1000,4000,500000000,500000000,10,10,100,0,8000,8000,0,,hyper,0,0,10,500000000,6000,8000,1,0,fast_recovery,0,0,10
5,0,9,1,1,7,cnp,0,0,8000,1000,20000,1000,4000,500000000,500000000,10,10,100,500000000,6000,8000,1,0,fast_recovery,0,0,10,500000000,6000,8000,1,0,fast_recovery,0,0,10
10,1,1,0,1,7,control,0,0,8000,1000,20000,1000,4000,500000000,500000000,10,10,100,500000000,6000,8000,1,0,fast_recovery,0,0,10,500000000,6000,8000,0,0,fast_recovery,0,0,20
20,1,1,1,1,7,control,1,0,8000,1000,20000,1000,4000,500000000,500000000,10,10,100,500000000,6000,8000,0,0,fast_recovery,0,0,20,250000000,7000,8000,0,0,fast_recovery,1,0,30
30,1,1,2,1,7,control,1,0,8000,1000,20000,1000,4000,500000000,500000000,10,10,100,250000000,7000,8000,0,0,fast_recovery,1,0,30,125000000,7500,8000,0,0,fast_recovery,2,0,40
40,1,1,3,1,7,control,1,0,8000,1000,20000,1000,4000,500000000,500000000,10,10,100,125000000,7500,8000,0,0,fast_recovery,2,0,40,62500000,7750,8000,0,0,fast_recovery,3,0,50
50,1,1,4,1,7,control,1,0,8000,1000,20000,1000,4000,500000000,500000000,10,10,100,62500000,7750,8000,0,0,fast_recovery,3,0,50,31250000,7875,8000,0,0,fast_recovery,4,0,60
60,1,1,5,1,7,control,1,0,8000,1000,20000,1000,4000,500000000,500000000,10,10,100,31250000,7875,8000,0,0,fast_recovery,4,0,60,15625000,7937,8000,0,0,additive,0,0,70
70,1,1,6,1,7,control,1,0,8000,1000,20000,1000,4000,500000000,500000000,10,10,100,15625000,7937,8000,0,0,additive,0,0,70,7812500,8468,9000,0,0,additive,1,0,80
80,1,1,7,1,7,control,1,0,8000,1000,20000,1000,4000,500000000,500000000,10,10,100,7812500,8468,9000,0,0,additive,1,0,80,3906250,9234,10000,0,0,additive,2,0,90
90,1,1,8,1,7,control,1,0,8000,1000,20000,1000,4000,500000000,500000000,10,10,100,3906250,9234,10000,0,0,additive,2,0,90,1953125,10117,11000,0,0,additive,3,0,100
100,1,1,9,1,7,control,1,0,8000,1000,20000,1000,4000,500000000,500000000,10,10,100,1953125,10117,11000,0,0,additive,3,0,100,976562,11058,12000,0,0,additive,4,0,110
110,1,1,10,1,7,control,1,0,8000,1000,20000,1000,4000,500000000,500000000,10,10,100,976562,11058,12000,0,0,additive,4,0,110,488281,12029,13000,0,0,hyper,0,0,120
120,1,1,11,1,7,control,1,0,8000,1000,20000,1000,4000,500000000,500000000,10,10,100,488281,12029,13000,0,0,hyper,0,0,120,244140,14514,17000,0,0,hyper,0,0,130
121,1,1,12,1,7,bytes,0,99,8000,1000,20000,1000,4000,500000000,500000000,10,10,100,244140,14514,17000,0,0,hyper,0,0,130,244140,14514,17000,0,0,hyper,0,99,130
122,1,1,13,1,7,bytes,1,1,8000,1000,20000,1000,4000,500000000,500000000,10,10,100,244140,14514,17000,0,0,hyper,0,99,130,244140,17257,20000,0,0,hyper,0,0,130
